oyuncu_adi,forma_no,takim,mevki,is_substitute,minutes_played,aksiyon_turu,x,y,basarili,basarili_pas,opta_points
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,10.52,47.32,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,11.46,49.74,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,4.0,45.75,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,6.4,46.46,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,15.74,17.77,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,15.38,30.16,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,7.8,30.11,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,13.75,53.29,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,18.08,31.64,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,7.59,43.17,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,13.07,26.43,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,12.38,20.67,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,16.16,22.42,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,21.23,47.57,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,5.75,44.53,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,20.04,16.2,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,11.72,33.97,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,10.9,31.32,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,11.24,35.01,False,0,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,11.95,24.13,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,9.71,42.69,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,11.52,29.12,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,11.18,27.91,False,0,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Pass,11.21,32.68,True,1,7.2
Alexander Nübel,1,Beşiktaş JK,GK,False,90,Interception,26.24,22.39,True,0,7.2
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,53.09,71.86,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,79.21,71.77,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,54.58,51.85,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,46.94,63.8,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,86.38,60.17,False,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,68.35,71.78,False,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,62.82,72.57,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,66.78,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,59.32,68.27,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,59.12,55.39,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,83.65,65.06,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,62.94,71.56,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,59.99,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,46.67,71.04,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,59.66,64.34,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,95.6,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,102.68,43.49,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,67.24,73.57,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,38.18,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,47.0,59.74,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,48.87,64.93,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,88.8,75.98,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,103.41,63.9,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,80.58,69.86,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,42.08,69.47,False,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,84.02,62.5,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,112.69,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,32.98,67.6,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,31.44,62.77,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,54.77,66.12,False,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,35.7,74.77,False,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,73.35,66.28,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,42.47,64.13,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,88.37,75.59,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,68.22,73.52,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,41.62,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,83.12,60.98,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,57.62,58.29,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,87.55,68.62,False,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,72.81,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,63.4,66.08,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,64.93,74.34,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,70.06,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,81.09,49.48,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,96.66,65.31,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,68.34,76.0,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,108.45,58.73,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,87.36,72.69,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,83.68,72.62,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,78.77,44.64,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,30.18,71.93,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,72.59,66.24,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Pass,34.76,76.0,False,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Shot,109.89,47.82,True,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Shot,110.53,43.06,True,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Chance Created,81.88,19.5,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Chance Created,104.64,27.38,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Chance Created,101.4,51.65,True,1,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Foul Won,100.86,69.14,True,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Foul Won,53.9,67.52,True,0,8.22
Amir Murillo,62,Beşiktaş JK,DF,False,90,Foul Won,66.82,54.7,True,0,8.22
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,38.42,41.53,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,39.85,55.54,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,71.91,70.16,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,56.76,39.0,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,60.6,67.24,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,73.96,73.66,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,28.43,63.23,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,19.01,47.85,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,49.14,60.24,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,29.44,49.17,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,29.15,70.3,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,57.86,32.31,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,72.34,62.85,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,69.08,37.31,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,20.68,65.31,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,31.67,53.62,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,67.08,47.5,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,73.04,39.91,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,39.77,49.3,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,39.25,69.85,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,57.96,70.4,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,59.17,73.23,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,52.94,57.82,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,58.95,18.86,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,45.09,37.32,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,30.86,31.29,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,63.17,53.67,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,45.28,43.37,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,36.83,38.44,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,34.92,41.54,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,34.87,52.87,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,65.68,67.29,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,64.55,58.14,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,32.19,69.22,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,69.87,32.41,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,48.65,65.42,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,45.33,72.39,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,32.1,61.01,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,30.86,25.58,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,25.78,33.93,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,23.12,37.79,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,41.85,76.0,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,75.93,55.2,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,43.35,52.7,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,40.69,56.87,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,23.0,55.82,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,43.64,50.25,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,4.0,59.31,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,19.15,56.45,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,53.74,48.67,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,35.1,55.52,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,48.52,76.0,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,46.42,44.49,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,56.56,32.32,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,30.33,62.74,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,46.54,54.09,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,16.28,51.47,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,39.76,41.11,False,0,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,39.28,71.81,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,38.49,59.53,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,58.57,76.0,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,23.55,49.75,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,56.91,76.0,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,44.29,56.42,True,1,7.8
Tiago Djaló,35,Beşiktaş JK,DF,False,90,Pass,39.24,34.08,True,1,7.8
