minute,type,class,team,player,assist,player_in,player_out,score_home,score_away
90,period,,FK Kauno Žalgiris,,,,,3.0,0.0
90,injuryTime,,FK Kauno Žalgiris,,,,,,
82,substitution,regular,Beşiktaş JK,,,Kassoum Ouattara,Rıdvan Yılmaz,,
82,card,yellow,FK Kauno Žalgiris,Ivan Fiolić,,,,,
80,substitution,regular,FK Kauno Žalgiris,,,Ivan Fiolić,Amine Benchaib,,
77,card,yellow,Beşiktaş JK,Amir Murillo,,,,,
73,substitution,regular,Beşiktaş JK,,,Milot Rashica,Leandro Trossard,,
72,card,yellow,FK Kauno Žalgiris,Anton Tolordava,,,,,
68,card,yellow,FK Kauno Žalgiris,Renan Oliveira,,,,,
67,card,yellow,FK Kauno Žalgiris,Franco Baldassarra,,,,,
63,substitution,regular,FK Kauno Žalgiris,,,Renan Oliveira,Anthony Kalik,,
61,substitution,regular,Beşiktaş JK,,,Amir Hadžiahmetović,Junior Olaitan,,
61,substitution,regular,Beşiktaş JK,,,Dušan Vlahović,Hyeon-gyu Oh,,
60,substitution,regular,FK Kauno Žalgiris,,,Fabien Ourega,Leon Kreković,,
60,goal,penalty,Beşiktaş JK,Orkun Kökçü,,,,3.0,0.0
46,substitution,regular,FK Kauno Žalgiris,,,Motiejus Burba,Gabriel Debeljuh,,
46,substitution,regular,Beşiktaş JK,,,İlhan Fakılı,Václav Černý,,
46,substitution,regular,FK Kauno Žalgiris,,,Lirim Kastrati,Joris Moutachy,,
45,period,,FK Kauno Žalgiris,,,,,2.0,0.0
45,injuryTime,,FK Kauno Žalgiris,,,,,,
12,goal,regular,Beşiktaş JK,Amir Murillo,Rıdvan Yılmaz,,,2.0,0.0
6,goal,regular,Beşiktaş JK,Hyeon-gyu Oh,Rıdvan Yılmaz,,,1.0,0.0
