period,group,metric,besiktas_home,zalgiris_away,besiktas_value,zalgiris_value
ALL,Match overview,Ball possession,77%,23%,77,23
ALL,Match overview,Corner kicks,15,2,15,2
ALL,Match overview,Fouls,3,16,3,16
ALL,Match overview,Free kicks,16,3,16,3
ALL,Match overview,Yellow cards,1,4,1,4
ALL,Match overview,Red cards,0,0,0,0
ALL,Shots,Shots on target,6,0,6,0
ALL,Shots,Hit woodwork,0,0,0,0
ALL,Shots,Shots off target,8,2,8,2
ALL,Shots,Blocked shots,7,1,7,1
ALL,Attack,Offsides,1,0,1,0
ALL,Passes,Throw-ins,20,13,20,13
ALL,Goalkeeping,Goal kicks,2,12,2,12
